                        thomas algorithm                thomas algorithm special                                     LU
   1.2153000000000000363790594870572e-05   8.6940000000000001084471054624281e-06    0.0099644929999999996145243486012077
   1.0206000000000000200962510521485e-05   8.6000000000000006696249457704972e-06    0.0062055519999999995961470489191925
   1.0227999999999999312699956732775e-05   8.5799999999999991670465021575964e-06    0.0064439650000000002830202738834942
   1.0183999999999999395159169801595e-05   8.6920000000000008052222083554383e-06    0.0055057300000000003459277309048048
    1.020700000000000069960790632928e-05   8.5839999999999994675621908801766e-06    0.0056765749999999996766586463081694
   1.0095999999999999560077595939234e-05   8.6139999999999991803310145366268e-06    0.0059332630000000002520876840605979
    1.019099999999999949754515143896e-05   8.6629999999999998970328859981826e-06    0.0057904590000000004043623214045056
   1.0234000000000000610506437070946e-05   8.6489999999999996922609227234524e-06     0.005353133000000000370210972988616
   9.8279999999999997543171856295707e-06   8.2989999999999996551595243809984e-06    0.0056029879999999997186588274189489
    9.813000000000000744965721055646e-06   8.3389999999999992721846225895987e-06    0.0053548590000000000077573503176609
                                    1000                                    1000                                    1000
   1.9610000000000000287868687220971e-05   1.6639000000000001120055437286993e-05     0.041851247000000001141639671686789
   2.0287000000000000751688641886794e-05   1.7158999999999999529513503015998e-05     0.027011578000000001364977464390904
   2.1129000000000000482770073917393e-05   1.7189000000000000936348221181049e-05     0.026135182999999999331475208919073
    2.036400000000000018386854538921e-05   1.7201000000000000143829392840189e-05     0.025577414999999999178914578124022
   2.0262999999999998948594509551313e-05   1.7158999999999999529513503015998e-05     0.025954530999999999435479125509119
    2.044199999999999842062795019082e-05   1.7167999999999998935124381760353e-05     0.025345655000000001655369175068699
   2.0434000000000001207728361762861e-05   1.7184000000000000137187136650674e-05     0.025988605000000001427062912284782
   2.5184000000000001469237925766365e-05   1.7166000000000001325965379161964e-05      0.02581513100000000157652202403824
   2.0295000000000001352720019331954e-05   1.7135000000000001114551159697719e-05     0.025732925000000000242961206708969
   2.0253999999999999542983630806958e-05   1.7166000000000001325965379161964e-05       0.0256873840000000006056346535388
