                   N               error          calculated               exact       comp time (s)            variance
           565000000         0.000100368            0.192665            0.192766             93.4465           0.0241866
           575000000         0.000152452            0.192613            0.192766             95.4576           0.0234386
           585000000         0.000115105            0.192881            0.192766             97.2964           0.0254915
           595000000         0.000119876            0.192886            0.192766             99.0537           0.0247744
           605000000         0.000151837            0.192918            0.192766             102.456           0.0253209
           615000000         0.000560691            0.192205            0.192766             102.164           0.0235198
           625000000          0.00101616             0.19175            0.192766             102.961           0.0276135
           635000000         0.000467789            0.192298            0.192766             104.938           0.0218909
           645000000         5.49119e-05            0.192821            0.192766             106.932           0.0261473
           655000000         0.000171496            0.192594            0.192766             107.382            0.028631
           665000000         0.000315888             0.19245            0.192766             110.685           0.0474416
           675000000         0.000177653            0.192588            0.192766             112.609            0.023863
           685000000         8.07716e-05            0.192685            0.192766             114.857           0.0311147
           695000000         0.000213462            0.192979            0.192766             117.554           0.0221816
           705000000          0.00080736            0.191958            0.192766             135.598           0.0261317
           715000000         0.000309408            0.192456            0.192766             119.353           0.0233591
           725000000         0.000139244            0.192905            0.192766             121.095           0.0232667
