8 60 1
          calculated               exact               error             rho_max                  n
         10.96302162                  11       0.03697838306                 4.4                 400
         15.07704668                  15       0.07704667734                 4.4                 400
         19.66200077                  19         0.662000774                 4.4                 400
         25.12012405                  23          2.12012405                 4.4                 400
         31.60652945                  27         4.606529455                 4.4                 400
         39.13674506                  31         8.136745064                 4.4                 400
         2.974671907                   3       0.02532809316                 4.5                 400
         6.961941762                   7        0.0380582381                 4.5                 400
         10.95753215                  11       0.04246784546                 4.5                 400
         15.02844918                  15       0.02844917902                 4.5                 400
         19.46569268                  19        0.4656926762                 4.5                 400
         24.67713685                  23          1.67713685                 4.5                 400
         30.86020861                  27         3.860208614                 4.5                 400
         38.04474102                  31         7.044741016                 4.5                 400
         2.974110072                   3       0.02588992775                 4.6                 400
         6.961028985                   7       0.03897101475                 4.6                 400
         10.95391436                  11       0.04608564222                 4.6                 400
         14.99503496                  15      0.004965040757                 4.6                 400
         19.31142116                  19        0.3114211611                 4.6                 400
         24.29874806                  23         1.298748064                 4.6                 400
         30.19715975                  27         3.197159753                 4.6                 400
         37.05631938                  31         6.056319382                 4.6                 400
         2.973548483                   3       0.02645151666                 4.7                 400
         6.960147986                   7       0.03985201436                 4.7                 400
         10.95142239                  11       0.04857761371                 4.7                 400
         14.97272488                  15       0.02727511546                 4.7                 400
         19.19343187                  19        0.1934318737                 4.7                 400
         23.98019555                  23        0.9801955523                 4.7                 400
         29.61192508                  27         2.611925077                 4.7                 400
          36.1642444                  31         5.164244403                 4.7                 400
         2.972987037                   3       0.02701296312                 4.8                 400
         6.959282832                   7       0.04071716843                 4.8                 400
         10.94958263                  11       0.05041736536                 4.8                 400
         14.95819325                  15       0.04180674967                 4.8                 400
         19.10586738                  19        0.1058673779                 4.8                 400
         23.71669338                  23        0.7166933772                 4.8                 400
         29.09958072                  27         2.099580724                 4.8                 400
         35.36210824                  31         4.362108242                 4.8                 400
         2.972425686                   3       0.02757431394                 4.9                 400
         6.958425339                   7       0.04157466124                 4.9                 400
         10.94810727                  11       0.05189272707                 4.9                 400
         14.94887516                  15       0.05112483971                 4.9                 400
         19.04295185                  19       0.04295184781                 4.9                 400
          23.5032578                  23        0.5032578017                 4.9                 400
         28.65559297                  27         1.655592975                 4.9                 400
         34.64422315                  31          3.64422315                 4.9                 400
          2.97186441                   3       0.02813558987                   5                 400
         6.957571425                   7       0.04242857454                   5                 400
         10.94682848                  11        0.0531715183                   5                 400
         14.94290039                  15         0.057099607                   5                 400
         18.99923492                  19     0.0007650763871                   5                 400
         23.33458042                  23        0.3345804168                   5                 400
         28.27565704                  27         1.275657044                   5                 400
         34.00551776                  31          3.00551776                   5                 400
           2.9713032                   3       0.02869679985                 5.1                 400
         6.956719114                   7       0.04328088634                 5.1                 400
         10.94565217                  11       0.05434782757                 5.1                 400
         14.93897843                  15       0.06102156825                 5.1                 400
         18.96983736                  19       0.03016264458                 5.1                 400
         23.20498722                  23        0.2049872236                 5.1                 400
         27.95551624                  27        0.9555162351                 5.1                 400
         33.44143061                  31         2.441430605                 5.1                 400
         2.970742052                   3       0.02925794766                 5.2                 400
         6.955867471                   7       0.04413252872                 5.2                 400
         10.94452751                  11       0.05547248611                 5.2                 400
         14.93626484                  15       0.06373515672                 5.2                 400
         18.95063864                  19       0.04936136025                 5.2                 400
         23.10851517                  23        0.1085151681                 5.2                 400
         27.69076859                  27        0.6907685944                 5.2                 400
         32.94779292                  31         1.947792924                 5.2                 400
         2.970180965                   3       0.02981903485                 5.3                 400
         6.955016071                   7       0.04498392901                 5.3                 400
           10.943428                  11       0.05657200498                 5.3                 400
         14.93423425                  15       0.06576575314                 5.3                 400
         18.93836603                  19       0.06163396524                 5.3                 400
         23.03911177                  23       0.03911176921                 5.3                 400
         27.47668285                  27        0.4766828466                 5.3                 400
          32.5206924                  31         1.520692396                 5.3                 400
         2.969619938                   3       0.03038006203                 5.4                 400
         6.954164722                   7       0.04583527793                 5.4                 400
         10.94234025                  11       0.05765975367                 5.4                 400
          14.9325749                  15       0.06742509677                 5.4                 400
         18.93057671                  19       0.06942328955                 5.4                 400
         22.99092507                  23       0.00907492622                 5.4                 400
         27.30806202                  27        0.3080620219                 5.4                 400
          32.1563111                  31         1.156311104                 5.4                 400
         2.969058971                   3       0.03094102944                 5.5                 400
         6.953313342                   7       0.04668665834                 5.5                 400
         10.94125774                  11       0.05874226016                 5.5                 400
         14.93110988                  15       0.06889012245                 5.5                 400
          18.9255554                  19       0.07444459719                 5.5                 400
         22.95861679                  23       0.04138321378                 5.5                 400
         27.17920337                  27        0.1792033677                 5.5                 400
         31.85073687                  31        0.8507368652                 5.5                 400
         2.968498063                   3       0.03150193714                 5.6                 400
         6.952461895                   7       0.04753810534                 5.6                 400
         10.94017739                  11       0.05982261415                 5.6                 400
         14.92974284                  15       0.07025715632                 5.6                 400
         18.92216647                  19       0.07783353296                 5.6                 400
          22.9376197                  23        0.0623802952                 5.6                 400
         27.08399541                  27       0.08399540613                 5.6                 400
         31.59975926                  31        0.5997592608                 5.6                 400
         2.967937215                   3       0.03206278517                 5.7                 400
         6.951610367                   7       0.04838963335                 5.7                 400
         10.93909777                  11       0.06090223448                 5.7                 400
         14.92842338                  15       0.07157662412                 5.7                 400
         18.91969867                  19       0.08030133256                 5.7                 400
         22.92427982                  23       0.07572017832                 5.7                 400
         27.01616077                  27        0.0161607693                 5.7                 400
         31.39868036                  31        0.3986803588                 5.7                 400
         2.967376426                   3        0.0326235735                 5.8                 400
         6.950758752                   7       0.04924124815                 5.8                 400
         10.93801825                  11       0.06198175383                 5.8                 400
         14.92712604                  15        0.0728739623                 5.8                 400
         18.91772914                  19       0.08227085534                 5.8                 400
         22.91586459                  23       0.08413540621                 5.8                 400
         26.96960423                  27       0.03039576707                 5.8                 400
         31.24218999                  31        0.2421899928                 5.8                 400
         2.966815698                   3       0.03318430214                 5.9                 400
         6.949907048                   7       0.05009295195                 5.9                 400
         10.93693855                  11       0.06306144632                 5.9                 400
         14.92583844                  15         0.074161557                 5.9                 400
         18.91601838                  19       0.08398162234                 5.9                 400
         22.91046105                  23       0.08953894608                 5.9                 400
         26.93878184                  27       0.06121816285                 5.9                 400
          31.1243645                  31        0.1243644952                 5.9                 400
         2.966255029                   3       0.03374497106                   6                 400
         6.949055254                   7       0.05094474557                   6                 400
         10.93585857                  11       0.06414142736                   6                 400
         14.92455476                  15       0.07544523914                   6                 400
         18.91443668                  19       0.08556332243                   6                 400
         22.90681179                  23       0.09318820938                   6                 400
         26.91899458                  27       0.08100542259                   6                 400
         31.03883135                  31       0.03883135074                   6                 400
          2.96569442                   3       0.03430558024                 6.1                 400
         6.948203371                   7       0.05179662925                 6.1                 400
         10.93477826                  11        0.0652217442                 6.1                 400
         14.92327233                  15       0.07672766587                 6.1                 400
         18.91291672                  19       0.08708327689                 6.1                 400
          22.9041378                  23       0.09586219746                 6.1                 400
         26.90653844                  27       0.09346155868                 6.1                 400
         30.97909518                  31       0.02090481965                 6.1                 400
          2.96513387                   3       0.03486612967                 6.2                 400
         6.947351397                   7       0.05264860304                 6.2                 400
         10.93369758                  11       0.06630241559                 6.2                 400
         14.92198999                  15       0.07801001045                 6.2                 400
         18.91142493                  19       0.08857507404                 6.2                 400
         22.90198232                  23        0.0980176806                 6.2                 400
         26.89869659                  27        0.1013034063                 6.2                 400
         30.93895838                  31       0.06104162228                 6.2                 400
         2.964573381                   3       0.03542661933                 6.3                 400
         6.946499333                   7        0.0535006669                 6.3                 400
