8 50 29
          calculated               exact               error             rho_max                  n
         22.30776615                  23        0.6922338531                 9.2                 100
          26.2085984                  27        0.7914016015                 9.2                 100
         30.10421357                  31        0.8957864325                 9.2                 100
         2.794332794                   3        0.2056672057                 9.3                 100
         6.679259673                   7        0.3207403273                 9.3                 100
         10.58173302                  11        0.4182669826                 9.3                 100
         14.48871082                  15        0.5112891791                 9.3                 100
         18.39524437                  19        0.6047556251                 9.3                 100
         22.29883693                  23        0.7011630674                 9.3                 100
         26.19801679                  27        0.8019832104                 9.3                 100
         30.09182557                  31        0.9081744269                 9.3                 100
         2.792168723                   3         0.207831277                 9.4                 100
         6.675753218                   7        0.3242467825                 9.4                 100
         10.57697917                  11        0.4230208259                 9.4                 100
         14.48266427                  15        0.5173357262                 9.4                 100
         18.38780543                  19        0.6121945658                 9.4                 100
         22.28987786                  23        0.7101221378                 9.4                 100
         26.18739285                  27        0.8126071479                 9.4                 100
         30.07938057                  31        0.9206194342                 9.4                 100
         2.790005694                   3        0.2099943063                 9.5                 100
         6.672245674                   7        0.3277543262                 9.5                 100
         10.57222012                  11        0.4277798755                 9.5                 100
         14.47660639                  15        0.5233936122                 9.5                 100
         18.38034696                  19        0.6196530435                 9.5                 100
         22.28088894                  23        0.7191110593                 9.5                 100
         26.17672658                  27        0.8232734174                 9.5                 100
         30.06687853                  31        0.9331214713                 9.5                 100
         2.787843707                   3        0.2121562925                 9.6                 100
         6.668737046                   7        0.3312629543                 9.6                 100
         10.56745588                  11        0.4325441243                 9.6                 100
         14.47053717                  15        0.5294628283                 9.6                 100
         18.37286895                  19        0.6271310496                 9.6                 100
         22.27187017                  23        0.7281298272                 9.6                 100
         26.16601798                  27        0.8339820222                 9.6                 100
         30.05431944                  31        0.9456805558                 9.6                 100
         2.785682765                   3        0.2143172347                 9.7                 100
         6.665227337                   7        0.3347726628                 9.7                 100
         10.56268643                  11        0.4373135651                 9.7                 100
         14.46445663                  15        0.5355433655                 9.7                 100
